RunID;SPL Name;Product Index;Coverage Type;Operator;Total Mutants;Equivalent Count;Killed Count;Survived Count;Mutation Score(%)
1;BankAccountv2;1;state;TransitionMissing;30;0;26;4;86,67
1;BankAccountv2;1;transition;TransitionMissing;30;0;30;0;100
1;BankAccountv2;1;pair;TransitionMissing;30;0;30;0;100
1;BankAccountv2;1;family-baseline;TransitionMissing;30;0;29;1;96,67
1;BankAccountv2;1;state;ActionExchange;143;0;119;24;83,22
1;BankAccountv2;1;transition;ActionExchange;143;0;143;0;100
1;BankAccountv2;1;pair;ActionExchange;143;0;143;0;100
1;BankAccountv2;1;family-baseline;ActionExchange;143;0;141;2;98,6
1;BankAccountv2;1;state;StateMissing;17;0;17;0;100
1;BankAccountv2;1;transition;StateMissing;17;0;17;0;100
1;BankAccountv2;1;pair;StateMissing;17;0;17;0;100
1;BankAccountv2;1;family-baseline;StateMissing;17;0;17;0;100
1;BankAccountv2;1;state;TransitionDestinationExchange;139;76;61;2;96,83
1;BankAccountv2;1;transition;TransitionDestinationExchange;139;76;63;0;100
1;BankAccountv2;1;pair;TransitionDestinationExchange;139;76;63;0;100
1;BankAccountv2;1;family-baseline;TransitionDestinationExchange;139;76;59;4;93,65
1;BankAccountv2;2;state;TransitionMissing;29;0;25;4;86,21
1;BankAccountv2;2;transition;TransitionMissing;29;0;29;0;100
1;BankAccountv2;2;pair;TransitionMissing;29;0;29;0;100
1;BankAccountv2;2;family-baseline;TransitionMissing;29;0;27;2;93,1
1;BankAccountv2;2;state;ActionExchange;137;0;117;20;85,4
1;BankAccountv2;2;transition;ActionExchange;137;0;137;0;100
1;BankAccountv2;2;pair;ActionExchange;137;0;137;0;100
1;BankAccountv2;2;family-baseline;ActionExchange;137;0;133;4;97,08
1;BankAccountv2;2;state;StateMissing;16;0;16;0;100
1;BankAccountv2;2;transition;StateMissing;16;0;16;0;100
1;BankAccountv2;2;pair;StateMissing;16;0;16;0;100
1;BankAccountv2;2;family-baseline;StateMissing;16;0;16;0;100
1;BankAccountv2;2;state;TransitionDestinationExchange;134;70;59;5;92,19
1;BankAccountv2;2;transition;TransitionDestinationExchange;134;70;64;0;100
1;BankAccountv2;2;pair;TransitionDestinationExchange;134;70;64;0;100
1;BankAccountv2;2;family-baseline;TransitionDestinationExchange;134;70;57;7;89,06
1;BankAccountv2;3;state;TransitionMissing;17;0;13;4;76,47
1;BankAccountv2;3;transition;TransitionMissing;17;0;17;0;100
1;BankAccountv2;3;pair;TransitionMissing;17;0;17;0;100
1;BankAccountv2;3;family-baseline;TransitionMissing;17;0;16;1;94,12
1;BankAccountv2;3;state;ActionExchange;49;0;37;12;75,51
1;BankAccountv2;3;transition;ActionExchange;49;0;49;0;100
1;BankAccountv2;3;pair;ActionExchange;49;0;49;0;100
1;BankAccountv2;3;family-baseline;ActionExchange;49;0;47;2;95,92
1;BankAccountv2;3;state;StateMissing;10;0;10;0;100
1;BankAccountv2;3;transition;StateMissing;10;0;10;0;100
1;BankAccountv2;3;pair;StateMissing;10;0;10;0;100
1;BankAccountv2;3;family-baseline;StateMissing;10;0;10;0;100
1;BankAccountv2;3;state;TransitionDestinationExchange;47;20;22;5;81,48
1;BankAccountv2;3;transition;TransitionDestinationExchange;47;20;27;0;100
1;BankAccountv2;3;pair;TransitionDestinationExchange;47;20;27;0;100
1;BankAccountv2;3;family-baseline;TransitionDestinationExchange;47;20;23;4;85,19
1;BankAccountv2;4;state;TransitionMissing;22;0;17;5;77,27
1;BankAccountv2;4;transition;TransitionMissing;22;0;22;0;100
1;BankAccountv2;4;pair;TransitionMissing;22;0;22;0;100
1;BankAccountv2;4;family-baseline;TransitionMissing;22;0;20;2;90,91
1;BankAccountv2;4;state;ActionExchange;78;0;62;16;79,49
1;BankAccountv2;4;transition;ActionExchange;78;0;78;0;100
1;BankAccountv2;4;pair;ActionExchange;78;0;78;0;100
1;BankAccountv2;4;family-baseline;ActionExchange;78;0;74;4;94,87
1;BankAccountv2;4;state;StateMissing;12;0;12;0;100
1;BankAccountv2;4;transition;StateMissing;12;0;12;0;100
1;BankAccountv2;4;pair;StateMissing;12;0;12;0;100
1;BankAccountv2;4;family-baseline;StateMissing;12;0;12;0;100
1;BankAccountv2;4;state;TransitionDestinationExchange;75;36;32;7;82,05
1;BankAccountv2;4;transition;TransitionDestinationExchange;75;36;39;0;100
1;BankAccountv2;4;pair;TransitionDestinationExchange;75;36;39;0;100
1;BankAccountv2;4;family-baseline;TransitionDestinationExchange;75;36;32;7;82,05
1;BankAccountv2;5;state;TransitionMissing;20;0;18;2;90
1;BankAccountv2;5;transition;TransitionMissing;20;0;20;0;100
1;BankAccountv2;5;pair;TransitionMissing;20;0;20;0;100
1;BankAccountv2;5;family-baseline;TransitionMissing;20;0;16;4;80
1;BankAccountv2;5;state;ActionExchange;54;0;46;8;85,19
1;BankAccountv2;5;transition;ActionExchange;54;0;54;0;100
1;BankAccountv2;5;pair;ActionExchange;54;0;54;0;100
1;BankAccountv2;5;family-baseline;ActionExchange;54;0;44;10;81,48
1;BankAccountv2;5;state;StateMissing;14;0;14;0;100
1;BankAccountv2;5;transition;StateMissing;14;0;14;0;100
1;BankAccountv2;5;pair;StateMissing;14;0;14;0;100
1;BankAccountv2;5;family-baseline;StateMissing;14;0;12;2;85,71
1;BankAccountv2;5;state;TransitionDestinationExchange;53;24;28;1;96,55
1;BankAccountv2;5;transition;TransitionDestinationExchange;53;24;29;0;100
1;BankAccountv2;5;pair;TransitionDestinationExchange;53;24;29;0;100
1;BankAccountv2;5;family-baseline;TransitionDestinationExchange;53;24;26;3;89,66
1;BankAccountv2;6;state;TransitionMissing;21;0;18;3;85,71
1;BankAccountv2;6;transition;TransitionMissing;21;0;21;0;100
1;BankAccountv2;6;pair;TransitionMissing;21;0;21;0;100
1;BankAccountv2;6;family-baseline;TransitionMissing;21;0;18;3;85,71
1;BankAccountv2;6;state;ActionExchange;69;0;57;12;82,61
1;BankAccountv2;6;transition;ActionExchange;69;0;69;0;100
1;BankAccountv2;6;pair;ActionExchange;69;0;69;0;100
1;BankAccountv2;6;family-baseline;ActionExchange;69;0;63;6;91,3
1;BankAccountv2;6;state;StateMissing;13;0;13;0;100
1;BankAccountv2;6;transition;StateMissing;13;0;13;0;100
1;BankAccountv2;6;pair;StateMissing;13;0;13;0;100
1;BankAccountv2;6;family-baseline;StateMissing;13;0;11;2;84,62
1;BankAccountv2;6;state;TransitionDestinationExchange;67;34;32;1;96,97
1;BankAccountv2;6;transition;TransitionDestinationExchange;67;34;33;0;100
1;BankAccountv2;6;pair;TransitionDestinationExchange;67;34;33;0;100
1;BankAccountv2;6;family-baseline;TransitionDestinationExchange;67;34;30;3;90,91
1;BankAccountv2;7;state;TransitionMissing;29;0;25;4;86,21
1;BankAccountv2;7;transition;TransitionMissing;29;0;29;0;100
1;BankAccountv2;7;pair;TransitionMissing;29;0;29;0;100
1;BankAccountv2;7;family-baseline;TransitionMissing;29;0;27;2;93,1
1;BankAccountv2;7;state;ActionExchange;137;0;117;20;85,4
1;BankAccountv2;7;transition;ActionExchange;137;0;137;0;100
1;BankAccountv2;7;pair;ActionExchange;137;0;137;0;100
1;BankAccountv2;7;family-baseline;ActionExchange;137;0;133;4;97,08
1;BankAccountv2;7;state;StateMissing;16;0;16;0;100
1;BankAccountv2;7;transition;StateMissing;16;0;16;0;100
1;BankAccountv2;7;pair;StateMissing;16;0;16;0;100
1;BankAccountv2;7;family-baseline;StateMissing;16;0;16;0;100
1;BankAccountv2;7;state;TransitionDestinationExchange;134;70;59;5;92,19
1;BankAccountv2;7;transition;TransitionDestinationExchange;134;70;64;0;100
1;BankAccountv2;7;pair;TransitionDestinationExchange;134;70;64;0;100
1;BankAccountv2;7;family-baseline;TransitionDestinationExchange;134;70;57;7;89,06
1;BankAccountv2;8;state;TransitionMissing;25;0;23;2;92
1;BankAccountv2;8;transition;TransitionMissing;25;0;25;0;100
1;BankAccountv2;8;pair;TransitionMissing;25;0;25;0;100
1;BankAccountv2;8;family-baseline;TransitionMissing;25;0;21;4;84
1;BankAccountv2;8;state;ActionExchange;84;0;74;10;88,1
1;BankAccountv2;8;transition;ActionExchange;84;0;84;0;100
1;BankAccountv2;8;pair;ActionExchange;84;0;84;0;100
1;BankAccountv2;8;family-baseline;ActionExchange;84;0;72;12;85,71
1;BankAccountv2;8;state;StateMissing;17;0;17;0;100
1;BankAccountv2;8;transition;StateMissing;17;0;17;0;100
1;BankAccountv2;8;pair;StateMissing;17;0;17;0;100
1;BankAccountv2;8;family-baseline;StateMissing;17;0;15;2;88,24
1;BankAccountv2;8;state;TransitionDestinationExchange;83;40;42;1;97,67
1;BankAccountv2;8;transition;TransitionDestinationExchange;83;40;43;0;100
1;BankAccountv2;8;pair;TransitionDestinationExchange;83;40;43;0;100
1;BankAccountv2;8;family-baseline;TransitionDestinationExchange;83;40;40;3;93,02
1;BankAccountv2;9;state;TransitionMissing;25;0;21;4;84
1;BankAccountv2;9;transition;TransitionMissing;25;0;25;0;100
1;BankAccountv2;9;pair;TransitionMissing;25;0;25;0;100
1;BankAccountv2;9;family-baseline;TransitionMissing;25;0;22;3;88
1;BankAccountv2;9;state;ActionExchange;100;0;80;20;80
1;BankAccountv2;9;transition;ActionExchange;100;0;100;0;100
1;BankAccountv2;9;pair;ActionExchange;100;0;100;0;100
1;BankAccountv2;9;family-baseline;ActionExchange;100;0;93;7;93
1;BankAccountv2;9;state;StateMissing;15;0;15;0;100
1;BankAccountv2;9;transition;StateMissing;15;0;15;0;100
1;BankAccountv2;9;pair;StateMissing;15;0;15;0;100
1;BankAccountv2;9;family-baseline;StateMissing;15;0;13;2;86,67
1;BankAccountv2;9;state;TransitionDestinationExchange;97;53;43;1;97,73
1;BankAccountv2;9;transition;TransitionDestinationExchange;97;53;44;0;100
1;BankAccountv2;9;pair;TransitionDestinationExchange;97;53;44;0;100
1;BankAccountv2;9;family-baseline;TransitionDestinationExchange;97;53;41;3;93,18
1;BankAccountv2;10;state;TransitionMissing;20;0;16;4;80
1;BankAccountv2;10;transition;TransitionMissing;20;0;20;0;100
1;BankAccountv2;10;pair;TransitionMissing;20;0;20;0;100
1;BankAccountv2;10;family-baseline;TransitionMissing;20;0;19;1;95
1;BankAccountv2;10;state;ActionExchange;57;0;45;12;78,95
1;BankAccountv2;10;transition;ActionExchange;57;0;57;0;100
1;BankAccountv2;10;pair;ActionExchange;57;0;57;0;100
1;BankAccountv2;10;family-baseline;ActionExchange;57;0;55;2;96,49
1;BankAccountv2;10;state;StateMissing;12;0;12;0;100
1;BankAccountv2;10;transition;StateMissing;12;0;12;0;100
1;BankAccountv2;10;pair;StateMissing;12;0;12;0;100
1;BankAccountv2;10;family-baseline;StateMissing;12;0;12;0;100
1;BankAccountv2;10;state;TransitionDestinationExchange;55;23;27;5;84,38
1;BankAccountv2;10;transition;TransitionDestinationExchange;55;23;32;0;100
1;BankAccountv2;10;pair;TransitionDestinationExchange;55;23;32;0;100
1;BankAccountv2;10;family-baseline;TransitionDestinationExchange;55;23;28;4;87,5
1;BankAccountv2;11;state;TransitionMissing;27;0;23;4;85,19
1;BankAccountv2;11;transition;TransitionMissing;27;0;27;0;100
1;BankAccountv2;11;pair;TransitionMissing;27;0;27;0;100
1;BankAccountv2;11;family-baseline;TransitionMissing;27;0;25;2;92,59
1;BankAccountv2;11;state;ActionExchange;110;0;93;17;84,55
1;BankAccountv2;11;transition;ActionExchange;110;0;110;0;100
1;BankAccountv2;11;pair;ActionExchange;110;0;110;0;100
1;BankAccountv2;11;family-baseline;ActionExchange;110;0;106;4;96,36
1;BankAccountv2;11;state;StateMissing;15;0;15;0;100
1;BankAccountv2;11;transition;StateMissing;15;0;15;0;100
1;BankAccountv2;11;pair;StateMissing;15;0;15;0;100
1;BankAccountv2;11;family-baseline;StateMissing;15;0;15;0;100
1;BankAccountv2;11;state;TransitionDestinationExchange;107;54;48;5;90,57
1;BankAccountv2;11;transition;TransitionDestinationExchange;107;54;53;0;100
1;BankAccountv2;11;pair;TransitionDestinationExchange;107;54;53;0;100
1;BankAccountv2;11;family-baseline;TransitionDestinationExchange;107;54;46;7;86,79
1;BankAccountv2;12;state;TransitionMissing;23;0;18;5;78,26
1;BankAccountv2;12;transition;TransitionMissing;23;0;23;0;100
1;BankAccountv2;12;pair;TransitionMissing;23;0;23;0;100
1;BankAccountv2;12;family-baseline;TransitionMissing;23;0;19;4;82,61
1;BankAccountv2;12;state;ActionExchange;94;0;72;22;76,6
1;BankAccountv2;12;transition;ActionExchange;94;0;94;0;100
1;BankAccountv2;12;pair;ActionExchange;94;0;94;0;100
1;BankAccountv2;12;family-baseline;ActionExchange;94;0;85;9;90,43
1;BankAccountv2;12;state;StateMissing;13;0;13;0;100
1;BankAccountv2;12;transition;StateMissing;13;0;13;0;100
1;BankAccountv2;12;pair;StateMissing;13;0;13;0;100
1;BankAccountv2;12;family-baseline;StateMissing;13;0;11;2;84,62
1;BankAccountv2;12;state;TransitionDestinationExchange;91;49;38;4;90,48
1;BankAccountv2;12;transition;TransitionDestinationExchange;91;49;42;0;100
1;BankAccountv2;12;pair;TransitionDestinationExchange;91;49;42;0;100
1;BankAccountv2;12;family-baseline;TransitionDestinationExchange;91;49;36;6;85,71
1;BankAccountv2;13;state;TransitionMissing;22;0;19;3;86,36
1;BankAccountv2;13;transition;TransitionMissing;22;0;22;0;100
1;BankAccountv2;13;pair;TransitionMissing;22;0;22;0;100
1;BankAccountv2;13;family-baseline;TransitionMissing;22;0;18;4;81,82
1;BankAccountv2;13;state;ActionExchange;62;0;50;12;80,65
1;BankAccountv2;13;transition;ActionExchange;62;0;62;0;100
1;BankAccountv2;13;pair;ActionExchange;62;0;62;0;100
1;BankAccountv2;13;family-baseline;ActionExchange;62;0;52;10;83,87
1;BankAccountv2;13;state;StateMissing;15;0;15;0;100
1;BankAccountv2;13;transition;StateMissing;15;0;15;0;100
1;BankAccountv2;13;pair;StateMissing;15;0;15;0;100
1;BankAccountv2;13;family-baseline;StateMissing;15;0;13;2;86,67
1;BankAccountv2;13;state;TransitionDestinationExchange;60;29;30;1;96,77
1;BankAccountv2;13;transition;TransitionDestinationExchange;60;29;31;0;100
1;BankAccountv2;13;pair;TransitionDestinationExchange;60;29;31;0;100
1;BankAccountv2;13;family-baseline;TransitionDestinationExchange;60;29;28;3;90,32
1;BankAccountv2;14;state;TransitionMissing;26;0;21;5;80,77
1;BankAccountv2;14;transition;TransitionMissing;26;0;26;0;100
1;BankAccountv2;14;pair;TransitionMissing;26;0;26;0;100
1;BankAccountv2;14;family-baseline;TransitionMissing;26;0;21;5;80,77
1;BankAccountv2;14;state;ActionExchange;95;0;73;22;76,84
1;BankAccountv2;14;transition;ActionExchange;95;0;95;0;100
1;BankAccountv2;14;pair;ActionExchange;95;0;95;0;100
1;BankAccountv2;14;family-baseline;ActionExchange;95;0;81;14;85,26
1;BankAccountv2;14;state;StateMissing;16;0;16;0;100
1;BankAccountv2;14;transition;StateMissing;16;0;16;0;100
1;BankAccountv2;14;pair;StateMissing;16;0;16;0;100
1;BankAccountv2;14;family-baseline;StateMissing;16;0;14;2;87,5
1;BankAccountv2;14;state;TransitionDestinationExchange;92;48;40;4;90,91
1;BankAccountv2;14;transition;TransitionDestinationExchange;92;48;44;0;100
1;BankAccountv2;14;pair;TransitionDestinationExchange;92;48;44;0;100
1;BankAccountv2;14;family-baseline;TransitionDestinationExchange;92;48;38;6;86,36
1;BankAccountv2;15;state;TransitionMissing;22;0;19;3;86,36
1;BankAccountv2;15;transition;TransitionMissing;22;0;22;0;100
1;BankAccountv2;15;pair;TransitionMissing;22;0;22;0;100
1;BankAccountv2;15;family-baseline;TransitionMissing;22;0;18;4;81,82
1;BankAccountv2;15;state;ActionExchange;62;0;50;12;80,65
1;BankAccountv2;15;transition;ActionExchange;62;0;62;0;100
1;BankAccountv2;15;pair;ActionExchange;62;0;62;0;100
1;BankAccountv2;15;family-baseline;ActionExchange;62;0;52;10;83,87
1;BankAccountv2;15;state;StateMissing;15;0;15;0;100
1;BankAccountv2;15;transition;StateMissing;15;0;15;0;100
1;BankAccountv2;15;pair;StateMissing;15;0;15;0;100
1;BankAccountv2;15;family-baseline;StateMissing;15;0;13;2;86,67
1;BankAccountv2;15;state;TransitionDestinationExchange;60;29;30;1;96,77
1;BankAccountv2;15;transition;TransitionDestinationExchange;60;29;31;0;100
1;BankAccountv2;15;pair;TransitionDestinationExchange;60;29;31;0;100
1;BankAccountv2;15;family-baseline;TransitionDestinationExchange;60;29;28;3;90,32
1;BankAccountv2;16;state;TransitionMissing;21;0;17;4;80,95
1;BankAccountv2;16;transition;TransitionMissing;21;0;21;0;100
1;BankAccountv2;16;pair;TransitionMissing;21;0;21;0;100
